Designator,Mid X,Mid Y,Rotation,Layer
BT1,75.6,-72.2,0.0,top
BT2,110.85,-72.3,0.0,top
C2,76.267621,-89.4,0.0,top
D1,120.88,-85.6,180.0,top
Q3,88.54,-89.9,270.0,top
Q6,113.95,-92.4,90.0,top
R1,104.95,-96.4,90.0,top
R3,86.8,-83.2,90.0,top
R4,82.3,-89.8,270.0,top
R6,111.75,-96.5,0.0,top
RV2,66.63,-87.5,0.0,top
